 Шаг Элемент       Позиция X/R  Позиция Y/A  Позиция Z       Размер База        
 150 Окружность        +2.3721     -48.7624    +0.0630      +0.5111             
 151 Окружность        +2.3728     -47.7929    +0.0630      +0.5667             
 152 Окружность        +2.3628     -46.7930    +0.0630      +0.5311             
 153 Окружность        +2.3573     -45.7958    +0.0630      +0.5779             
 154 Окружность        +2.3694     -44.8156    +0.0630      +0.5175             
 155 Окружность        +2.3734     -43.8025    +0.0630      +0.5875             
 156 Окружность        +2.3794     -42.8064    +0.0630      +0.5174             
 157 Окружность        +2.3919     -41.8184    +0.0630      +0.5653             
 158 Окружность        +2.3811     -40.8177    +0.0630      +0.5800             
 159 Окружность        +2.3881     -39.8333    +0.0630      +0.5261             
 160 Окружность        +2.3829     -38.8474    +0.0630      +0.5261             
 161 Окружность        +2.3670     -37.8408    +0.0630      +0.5725             
 162 Окружность        +2.3813     -36.8506    +0.0630      +0.5728             
 163 Окружность        +2.3791     -35.8699    +0.0630      +0.5298             
 164 Окружность        +2.3781     -34.8874    +0.0630      +0.5226             
 165 Окружность        +2.3707     -33.9009    +0.0630      +0.5372             
 166 Окружность        +2.3636     -32.9016    +0.0630      +0.5295             
 167 Окружность        +2.3590     -31.9152    +0.0630      +0.5372             
 168 Окружность        +2.3402     -30.9364    +0.0630      +0.5354             
 169 Окружность        +2.3357     -29.9360    +0.0630      +0.5303             
 170 Окружность        +2.3235     -28.9464    +0.0630      +0.5307             
 171 Окружность        +2.3384     -27.9677    +0.0630      +0.5765             
 172 Окружность        +2.3176     -26.9774    +0.0630      +0.5950             
 173 Окружность        +2.3150     -25.9786    +0.0630      +0.5390             
 174 Окружность        +2.2934     -24.9942    +0.0630      +0.5289             
 175 Окружность        +2.2886     -23.9881    +0.0630      +0.5397             
 176 Окружность        +2.2769     -23.0058    +0.0630      +0.5514             
 177 Окружность        +2.2741     -22.0121    +0.0630      +0.5362             
 178 Окружность        +2.2734     -21.0246    +0.0630      +0.5767             
 179 Окружность        +2.2622     -20.0383    +0.0630      +0.5390             
 180 Окружность        +2.2522     -19.0311    +0.0630      +0.5239             
 181 Окружность        +2.2367     -18.0384    +0.0630      +0.5424             
 182 Окружность        +2.2177     -17.0499    +0.0630      +0.5297             
 183 Окружность        +2.2087     -16.0504    +0.0630      +0.5343             
 184 Окружность        +2.1989     -15.0718    +0.0630      +0.5322             
 185 Окружность        +2.1821     -14.0807    +0.0630      +0.5371             
 186 Окружность        +2.1600     -13.0814    +0.0630      +0.5508             
 187 Окружность        +2.1499     -12.0941    +0.0630      +0.5425             
 188 Окружность        +2.1255     -11.0937    +0.0630      +0.5442             
 189 Окружность        +2.1106     -10.1016    +0.0630      +0.5472             
 190 Окружность        +2.0834      -9.1174    +0.0630      +0.5452             
 191 Окружность        +2.0616      -8.1168    +0.0630      +0.5378             
 192 Окружность        +2.0447      -7.1173    +0.0630      +0.5548             
 193 Окружность        +9.0359      -7.1067    +0.0630      +0.5515             
 194 Окружность       +13.0206      -7.0938    +0.0630      +0.5481             
 195 Окружность       +17.0152      -7.0790    +0.0630      +0.5451             
 196 Окружность       +21.0108      -7.0626    +0.0630      +0.5538             
 197 Окружность       +25.0037      -7.0407    +0.0630      +0.5442             
 198 Окружность       +29.0267      -7.0227    +0.0630      +0.5568             
 199 Окружность       +33.0284      -7.0115    +0.0630      +0.5615             
 200 Окружность       +37.0336      -6.9892    +0.0630      +0.5535             
 201 Окружность       +41.0315      -6.9829    +0.0630      +0.5539             
 202 Окружность       +45.0506      -6.9694    +0.0630      +0.5325             
 203 Окружность       +49.0454      -6.9606    +0.0630      +0.5528             
 204 Окружность       +54.9639     -11.9272    +0.0630      +0.5422             
 205 Окружность       +54.9075     -15.8915    +0.0630      +0.5544             
 206 Окружность       +54.8809     -19.8712    +0.0630      +0.5440             
 207 Окружность       +54.8568     -23.8341    +0.0630      +0.5582             
 208 Окружность       +54.8471     -27.8272    +0.0630      +0.5375             
 209 Окружность       +54.8363     -31.7899    +0.0630      +0.5413             
 210 Окружность       +54.8311     -35.7640    +0.0630      +0.5339             
 211 Окружность       +54.8351     -39.7228    +0.0630      +0.5263             
 212 Окружность       +54.8416     -43.7080    +0.0630      +0.5344             
 213 Окружность       +52.8779     -48.6446    +0.0630      +0.5464             
 214 Окружность       +48.9066     -48.5847    +0.0630      +0.5359             
 215 Окружность       +44.9377     -48.5547    +0.0630      +0.5930             
 216 Окружность       +40.9816     -48.5121    +0.0630      +0.5228             
 217 Окружность       +37.0287     -48.5105    +0.0630      +0.5317             
 218 Окружность       +33.0664     -48.4923    +0.0630      +0.5268             
 219 Окружность       +29.1117     -48.5017    +0.0630      +0.5337             
 220 Окружность       +25.1488     -48.5180    +0.0630      +0.5195             
 221 Окружность       +21.1764     -48.5338    +0.0630      +0.5873             
 222 Окружность       +17.2270     -48.5685    +0.0630      +0.5332             
 223 Окружность       +13.2598     -48.6182    +0.0630      +0.5287             
 224 Окружность        +9.2965     -48.6665    +0.0630      +0.5751             
 225 Окружность        +3.3520     -43.8032    +0.0630      +0.5116             
 226 Окружность        +3.3392     -35.8759    +0.0630      +0.5310             
 227 Окружность        +3.1937     -16.0398    +0.0630      +0.5471             
 228 Окружность        +3.1312     -12.0728    +0.0630      +0.5506             
 229 Дистанция         +1.0046      +0.0055    +0.0930      +1.0046 1, 2        
 230 Дистанция         +0.9902      +0.0072    +0.0000      +0.9902 2, 3        
 231 Дистанция         +1.0035      +0.0004    +0.0000      +1.0035 3, 4        
 232 Дистанция         +1.0014      +0.0013    +0.0000      +1.0014 4, 5        
 233 Дистанция         +0.9868      +0.0060    +0.0000      +0.9869 5, 6        
 234 Дистанция         +1.0047      +0.0093    +0.0000      +1.0048 6, 7        
 235 Дистанция         +1.0021      +0.0032    +0.0000      +1.0021 7, 8        
 236 Дистанция         +0.9908      +0.0073    +0.0000      +0.9909 8, 9        
 237 Дистанция         +0.9963      +0.0074    +0.0000      +0.9963 9, 10       
 238 Дистанция         +0.9926      +0.0023    +0.0000      +0.9926 10, 11      
 239 Дистанция         +1.0078      +0.0033    +0.0000      +1.0078 11, 12      
 240 Дистанция         +0.9940      +0.0036    +0.0000      +0.9940 12, 13      
 241 Дистанция         +0.9996      +0.0315    +0.0000      +1.0001 13, 14      
 242 Дистанция         +0.9929      +0.0152    +0.0000      +0.9930 14, 15      
 243 Дистанция         +1.0034      +0.0014    +0.0000      +1.0034 15, 16      
 244 Дистанция         +0.9985      +0.0052    +0.0000      +0.9985 16, 17      
 245 Дистанция         +0.9991      +0.0212    +0.0000      +0.9993 17, 18      
 246 Дистанция         +1.0014      +0.0066    +0.0000      +1.0014 18, 19      
 247 Дистанция         +1.0068      +0.0019    +0.0000      +1.0068 19, 20      
 248 Дистанция         +0.9909      +0.0049    +0.0000      +0.9909 20, 21      
 249 Дистанция         +1.0102      +0.0097    +0.0000      +1.0103 21, 22      
 250 Дистанция         +0.9952      +0.0010    +0.0000      +0.9952 22, 23      
 251 Дистанция         +1.0013      +0.0095    +0.0000      +1.0013 23, 24      
 252 Дистанция         +1.0116      +0.0100    +0.0000      +1.0117 24, 25      
 253 Дистанция         +1.0010      +0.0117    +0.0000      +1.0011 25, 26      
 254 Дистанция         +0.9951      +0.0091    +0.0000      +0.9951 26, 27      
 255 Дистанция         +0.9999      +0.0037    +0.0000      +0.9999 27, 28      
 256 Дистанция         +1.0036      +0.0061    +0.0000      +1.0037 28, 29      
 257 Дистанция         +0.9989      +0.0041    +0.0000      +0.9989 29, 30      
 258 Дистанция         +0.9998      +0.0168    +0.0000      +1.0000 30, 31      
 259 Дистанция         +1.0030      +0.0066    +0.0000      +1.0030 31, 32      
 260 Дистанция         +1.0016      +0.0043    +0.0000      +1.0016 32, 33      
 261 Дистанция         +1.0108      +0.0099    +0.0000      +1.0108 33, 34      
 262 Дистанция         +0.9897      +0.0258    +0.0000      +0.9900 34, 35      
 263 Дистанция         +1.0017      +0.0116    +0.0000      +1.0018 35, 36      
 264 Дистанция         +1.0062      +0.0040    +0.0000      +1.0062 36, 37      
 265 Дистанция         +0.9899      +0.0096    +0.0000      +0.9900 37, 38      
 266 Дистанция         +1.0017      +0.0001    +0.0000      +1.0017 38, 39      
 267 Дистанция         +1.0043      +0.0140    +0.0000      +1.0044 39, 40      
 268 Дистанция         +1.0167      +0.0069    +0.0000      +1.0167 40, 41      
 269 Дистанция         +0.9980      +0.0068    +0.0000      +0.9980 41, 42      
 270 Дистанция         +1.0014      +0.0053    +0.0000      +1.0014 42, 43      
 271 Дистанция         +1.0000      +0.0015    +0.0000      +1.0000 43, 44      
 272 Дистанция         +1.0030      +0.0069    +0.0000      +1.0030 44, 45      
 273 Дистанция         +0.9933      +0.0047    +0.0000      +0.9933 45, 46      
 274 Дистанция         +0.9981      +0.0181    +0.0000      +0.9982 46, 47      
 275 Дистанция         +1.0048      +0.0031    +0.0000      +1.0048 47, 48      
 276 Дистанция         +0.9968      +0.0033    +0.0000      +0.9968 48, 49      
 277 Дистанция         +1.0026      +0.0172    +0.0000      +1.0028 49, 50      
 278 Дистанция         +1.0018      +0.0024    +0.0000      +1.0018 50, 51      
